Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,PV,Day_Perc_Change,Trend,mean,STD,Upper,Lower
2017-05-15,HINDUNILVR,EQ,980.2,981.3,988.85,974.55,982.5,983.25,980.72,734446,720288795.6,32976,420159,57.21,2017,5,722144029.5,0.0,Slight or No Change,,,,
2017-05-16,HINDUNILVR,EQ,983.25,983.0,1002.5,982.05,999.5,1000.4,994.0,1503815,1494797745.55,39717,669576,44.53,2017,5,1504416526.0,1.7442156114924945,Positive,,,,
2017-05-17,HINDUNILVR,EQ,1000.4,1004.0,1012.0,991.1,1009.0,1009.4,1003.84,1999387,2007056012.15,63210,996054,49.82,2017,5,2018181237.8,0.8996401439424151,Slight Positive,,,,
2017-05-18,HINDUNILVR,EQ,1009.4,1008.0,1009.0,983.0,987.5,990.25,997.56,2690943,2684373562.15,78098,983594,36.55,2017,5,2664706305.75,-1.8971666336437432,Negative,,,,
2017-05-19,HINDUNILVR,EQ,990.25,1000.0,1022.75,1000.0,1004.1,1008.0,1009.97,3059815,3090315667.8,57429,1523108,49.78,2017,5,3084293520.0,1.7924766473112808,Positive,,,,
2017-05-22,HINDUNILVR,EQ,1008.0,1011.35,1028.2,1009.0,1019.8,1018.6,1019.74,1788720,1824025966.1,51057,808117,45.18,2017,5,1821990192.0,1.051587301587298,Positive,,,,
2017-05-23,HINDUNILVR,EQ,1018.6,1018.8,1032.0,1014.0,1023.5,1024.8,1027.17,2640069,2711793462.6,72246,1946513,73.73,2017,5,2705542711.2,0.6086785784409798,Slight Positive,,,,
2017-05-24,HINDUNILVR,EQ,1024.8,1026.55,1040.0,1023.5,1038.05,1038.05,1032.11,1992083,2056056556.8,42418,1341093,67.32,2017,5,2067881758.15,1.2929352068696387,Positive,,,,
2017-05-25,HINDUNILVR,EQ,1038.05,1037.9,1050.0,1030.3,1045.0,1043.45,1041.56,1918721,1998462723.45,67399,1255478,65.43,2017,5,2002089427.45,0.5202061557728621,Slight Positive,,,,
2017-05-26,HINDUNILVR,EQ,1043.45,1042.05,1046.95,1032.4,1041.0,1040.95,1040.43,716421,745383722.55,26030,367491,51.3,2017,5,745758439.95,-0.2395898222243509,Slight or No Change,,,,
2017-05-29,HINDUNILVR,EQ,1040.95,1041.0,1077.0,1038.75,1073.0,1072.25,1065.77,1771026,1887507529.8,63186,1112200,62.8,2017,5,1898982628.5,3.0068687256832765,Among Top Gainers,,,,
2017-05-30,HINDUNILVR,EQ,1072.25,1071.1,1074.95,1053.3,1070.5,1072.6,1063.43,890684,947182049.85,19918,588068,66.02,2017,5,955347658.4,0.032641641408237554,Slight or No Change,,,,
2017-05-31,HINDUNILVR,EQ,1072.6,1065.8,1074.45,1061.05,1070.0,1067.0,1067.74,2226704,2377542164.05,72236,1834087,82.37,2017,5,2375893168.0,-0.522095841879533,Slight Negative,,,,
2017-06-01,HINDUNILVR,EQ,1067.0,1067.0,1099.45,1061.2,1094.55,1095.35,1091.65,1782269,1945606800.45,69057,1160309,65.1,2017,6,1952208349.15,2.6569821930646498,Positive,1033.1678571428572,34.162173228152895,1101.492203599163,964.8435106865514
2017-06-02,HINDUNILVR,EQ,1095.35,1100.05,1103.0,1046.1,1085.0,1086.4,1083.08,2216247,2400378655.9,40705,1803842,81.39,2017,6,2407730740.8,-0.8170904277171487,Slight Negative,1040.5357142857144,33.68813662775884,1107.911987541232,973.1594410301968
2017-06-05,HINDUNILVR,EQ,1086.4,1092.0,1101.3,1088.0,1095.0,1097.75,1096.57,612171,671288397.35,35182,355028,57.99,2017,6,672010715.25,1.044734904270972,Positive,1047.4892857142859,34.795275865086445,1117.0798374444587,977.8987339841129
2017-06-06,HINDUNILVR,EQ,1097.75,1097.95,1101.8,1087.0,1091.0,1091.55,1092.44,1203091,1314304860.3,29449,915629,76.11,2017,6,1313233981.05,-0.5647916192211389,Slight Negative,1053.357142857143,34.80467948833473,1122.9665018338123,983.7477838804734
2017-06-07,HINDUNILVR,EQ,1091.55,1105.2,1114.25,1091.5,1106.0,1106.35,1107.07,2392047,2648170064.95,81560,1666883,69.68,2017,6,2646441198.45,1.3558700929870326,Positive,1061.65,32.35700494839963,1126.3640098967994,996.9359901032009
2017-06-08,HINDUNILVR,EQ,1106.35,1106.7,1115.0,1088.55,1092.9,1093.5,1103.14,935574,1032073423.1,45799,555504,59.38,2017,6,1023050169.0,-1.1614769286392157,Negative,1067.757142857143,29.384224294042923,1126.5255914452289,1008.9886942690571
2017-06-09,HINDUNILVR,EQ,1093.5,1091.0,1105.4,1090.0,1097.0,1095.35,1095.6,691085,757155244.15,29000,403543,58.39,2017,6,756979954.7499999,0.16918152720621915,Slight or No Change,1073.2392857142859,26.52837507398284,1126.2960358622515,1020.1825355663202
